eventid layer signal axis fiberid x/y z energy intensity time
95 1 WLS_Slow x 78 -67.219 -74.8439 3.17581 1 2.61324
95 1 WLS_Slow x 79 -65.209 -74.8439 3.17581 1 2.61324
95 1 WLS_Slow x 82 -59.179 -74.8439 6.35163 2 2.61324
95 1 WLS_Slow x 83 -57.169 -74.8439 3.17581 1 2.61324
95 1 WLS_Slow y 41 -141.589 -74.8439 9.52744 3 2.61324
95 1 Edge_Detector l 0 0 0 30.9789 30.9789 1.95585
95 3 WLS_Fast y 30 -163.699 81.6461 35 7 1.3836
96 -1 GUNout g 0 0 0 869.81 0 0.710474925
96 0 Calorimeter l 0 0 0 620.508 620.508 3.10903
96 2 Calorimeter l 0 0 0 249.302 249.302 2.92857
102 -1 GUNout g 0 0 0 418.792 0 0.288387825
102 1 Calorimeter l 0 0 0 418.792 418.792 2.64508
113 -1 GUNout g 0 0 0 619.339 0 0.663259494
113 2 Calorimeter l 0 0 0 619.339 619.339 2.94938
120 -1 GUNout g 0 0 0 350.933 0 0.637772642
120 1 WLS_Slow x 192 161.921 -74.8439 3.17581 1 2.31754
120 1 WLS_Slow x 193 163.931 -74.8439 34.9339 11 2.31754
120 1 WLS_Slow x 194 165.941 -74.8439 50.813 16 2.31754
120 1 WLS_Slow x 195 167.951 -74.8439 41.2856 13 2.31754
120 1 WLS_Slow x 196 169.961 -74.8439 25.4065 8 2.31754
120 1 WLS_Slow x 197 171.971 -74.8439 41.2856 13 2.31754
120 1 WLS_Slow y 202 182.021 -74.8439 15.8791 5 2.3328
120 1 WLS_Slow y 203 184.031 -74.8439 12.7033 4 2.31754
120 1 WLS_Slow y 204 186.041 -74.8439 12.7033 4 2.31754
120 1 WLS_Slow y 205 188.051 -74.8439 101.626 32 2.31754
120 1 WLS_Slow y 206 190.061 -74.8439 38.1098 12 2.31754
120 1 Edge_Detector l 0 0 0 350.933 350.933 2.31754
124 -1 GUNout g 0 0 0 333.791 0 0.564885407
124 2 WLS_Slow x 60 -103.399 5.15608 9.52744 3 2.00221
124 2 WLS_Slow x 61 -101.389 5.15608 12.7033 4 2.00221
124 2 WLS_Slow x 62 -99.379 5.15608 22.2307 7 2.00221
124 2 WLS_Slow x 63 -97.369 5.15608 15.8791 5 2.00221
124 2 WLS_Slow x 64 -95.359 5.15608 9.52744 3 2.00221
124 2 WLS_Slow y 218 214.181 5.15608 6.35163 2 2.00221
124 2 WLS_Slow y 219 216.191 5.15608 47.6372 15 2.00221
124 2 WLS_Slow y 220 218.201 5.15608 19.0549 6 2.00221
124 2 Edge_Detector l 0 0 0 158.845 158.845 2.00221
124 3 WLS_Slow x 92 -39.079 85.1561 22.2307 7 2.67283
124 3 WLS_Slow x 93 -37.069 85.1561 47.6372 15 2.67283
124 3 WLS_Slow y 132 41.321 85.1561 19.0549 6 2.67283
124 3 WLS_Slow y 133 43.331 85.1561 28.5823 9 2.67283
124 3 WLS_Slow y 134 45.341 85.1561 15.8791 5 2.67283
124 3 WLS_Slow y 135 47.351 85.1561 9.52744 3 2.67283
124 3 WLS_Slow y 136 49.361 85.1561 15.8791 5 2.67283
124 3 Edge_Detector l 0 0 0 174.945 174.945 1.74082
128 -1 GUNout g 0 0 0 850.709 0 0.363233771
128 3 WLS_Fast x 129 35.291 88.6661 125 25 1.54681
128 3 WLS_Slow x 129 35.291 85.1561 257.241 81 1.54838
128 3 WLS_Slow y 0 -223.999 85.1561 38.1098 12 1.54838
128 3 WLS_Slow y 1 -221.989 85.1561 57.1646 18 1.54838
128 3 WLS_Slow y 2 -219.979 85.1561 66.6921 21 1.54838
128 3 WLS_Slow y 3 -217.969 85.1561 47.6372 15 1.54838
128 3 WLS_Slow y 4 -215.959 85.1561 38.1098 12 1.54838
128 3 WLS_Slow y 5 -213.949 85.1561 3.17581 1 1.54838
128 3 Edge_Detector l 0 0 0 497.029 497.029 1.54838
131 -1 GUNout g 0 0 0 328.639 0 0.544923515
131 2 Calorimeter l 0 0 0 147.346 147.346 2.84518
131 3 Calorimeter l 0 0 0 181.293 181.293 2.78778
146 -1 GUNout g 0 0 0 907.831 0 0.719595928
146 2 WLS_Slow x 160 97.601 5.15608 50.813 16 2.18866
146 2 WLS_Slow x 161 99.611 5.15608 88.9228 28 2.18866
146 2 WLS_Slow x 162 101.621 5.15608 120.681 38 2.18866
146 2 WLS_Slow x 163 103.631 5.15608 117.505 37 2.18866
146 2 WLS_Slow x 164 105.641 5.15608 69.8679 22 2.18866
146 2 WLS_Slow x 165 107.651 5.15608 3.17581 1 2.18866
146 2 WLS_Slow y 12 -199.879 5.15608 34.9339 11 2.18866
146 2 WLS_Slow y 13 -197.869 5.15608 63.5163 20 2.18866
146 2 WLS_Slow y 14 -195.859 5.15608 244.538 77 2.18866
146 2 WLS_Slow y 15 -193.849 5.15608 66.6921 21 2.18866
146 2 Edge_Detector l 0 0 0 907.831 907.831 2.18866
148 -1 GUNout g 0 0 0 471.545 0 0.718343681
148 0 WLS_Slow x 51 -121.489 -154.844 19.0549 6 2.78359
148 0 WLS_Slow x 52 -119.479 -154.844 34.9339 11 2.78359
148 0 WLS_Slow x 53 -117.469 -154.844 3.17581 1 2.78359
148 0 WLS_Slow y 48 -127.519 -154.844 6.35163 2 2.78359
148 0 WLS_Slow y 49 -125.509 -154.844 12.7033 4 2.78359
148 0 WLS_Slow y 50 -123.499 -154.844 9.52744 3 2.78359
148 0 WLS_Slow y 51 -121.489 -154.844 6.35163 2 2.78359
148 0 WLS_Slow y 52 -119.479 -154.844 6.35163 2 2.78359
148 0 Edge_Detector l 0 0 0 74.6349 74.6349 2.78359
